******,****(),***()*,**()**,**()(),*()***,*()*(),*()()*,()****,()**(),()*()*,()()**,()()()
132546,132564,132456,135246,135264,123546,123564,123456,312546,312564,312456,315246,315264
132645,132654,132465,136245,136254,123645,123654,123465,312645,312654,312465,316245,316254
142536,142563,142356,145236,145263,124536,124563,124356,412536,412563,412356,415236,415263
142635,142653,142365,146235,146253,124635,124653,124365,412635,412653,412365,416235,416253
143526,143562,143256,145326,145362,134526,134562,134256,413526,413562,413256,415326,415362
143625,143652,143265,146325,146352,134625,134652,134265,413625,413652,413265,416325,416352
152436,152463,152346,154236,154263,125436,125463,125346,512436,512463,512346,514236,514263
152634,152643,152364,156234,156243,125634,125643,125364,512634,512643,512364,516234,516243
153426,153462,153246,154326,154362,135426,135462,135246,513426,513462,513246,514326,514362
153624,153642,153264,156324,156342,135624,135642,135264,513624,513642,513264,516324,516342
154623,154632,154263,156423,156432,145623,145632,145263,514623,514632,514263,516423,516432
162435,162453,162345,164235,164253,126435,126453,126345,612435,612453,612345,614235,614253
162534,162543,162354,165234,165243,126534,126543,126354,612534,612543,612354,615234,615243
163425,163452,163245,164325,164352,136425,136452,136245,613425,613452,613245,614325,614352
163524,163542,163254,165324,165342,136524,136542,136254,613524,613542,613254,615324,615342
164523,164532,164253,165423,165432,146523,146532,146253,614523,614532,614253,615423,615432
231546,231564,231456,235146,235164,213546,213564,213456,321546,321564,321456,325146,325164
231645,231654,231465,236145,236154,213645,213654,213465,321645,321654,321465,326145,326154
241536,241563,241356,245136,245163,214536,214563,214356,421536,421563,421356,425136,425163
241635,241653,241365,246135,246153,214635,214653,214365,421635,421653,421365,426135,426153
243516,243561,243156,245316,245361,234516,234561,234156,423516,423561,423156,425316,425361
243615,243651,243165,246315,246351,234615,234651,234165,423615,423651,423165,426315,426351
251436,251463,251346,254136,254163,215436,215463,215346,521436,521463,521346,524136,524163
251634,251643,251364,256134,256143,215634,215643,215364,521634,521643,521364,526134,526143
253416,253461,253146,254316,254361,235416,235461,235146,523416,523461,523146,524316,524361
253614,253641,253164,256314,256341,235614,235641,235164,523614,523641,523164,526314,526341
254613,254631,254163,256413,256431,245613,245631,245163,524613,524631,524163,526413,526431
261435,261453,261345,264135,264153,216435,216453,216345,621435,621453,621345,624135,624153
261534,261543,261354,265134,265143,216534,216543,216354,621534,621543,621354,625134,625143
263415,263451,263145,264315,264351,236415,236451,236145,623415,623451,623145,624315,624351
263514,263541,263154,265314,265341,236514,236541,236154,623514,623541,623154,625314,625341
264513,264531,264153,265413,265431,246513,246531,246153,624513,624531,624153,625413,625431
341526,341562,341256,345126,345162,314526,314562,314256,431526,431562,431256,435126,435162
341625,341652,341265,346125,346152,314625,314652,314265,431625,431652,431265,436125,436152
342516,342561,342156,345216,345261,324516,324561,324156,432516,432561,432156,435216,435261
342615,342651,342165,346215,346251,324615,324651,324165,432615,432651,432165,436215,436251
351426,351462,351246,354126,354162,315426,315462,315246,531426,531462,531246,534126,534162
351624,351642,351264,356124,356142,315624,315642,315264,531624,531642,531264,536124,536142
352416,352461,352146,354216,354261,325416,325461,325146,532416,532461,532146,534216,534261
352614,352641,352164,356214,356241,325614,325641,325164,532614,532641,532164,536214,536241
354612,354621,354162,356412,356421,345612,345621,345162,534612,534621,534162,536412,536421
361425,361452,361245,364125,364152,316425,316452,316245,631425,631452,631245,634125,634152
361524,361542,361254,365124,365142,316524,316542,316254,631524,631542,631254,635124,635142
362415,362451,362145,364215,364251,326415,326451,326145,632415,632451,632145,634215,634251
362514,362541,362154,365214,365241,326514,326541,326154,632514,632541,632154,635214,635241
364512,364521,364152,365412,365421,346512,346521,346152,634512,634521,634152,635412,635421
451326,451362,451236,453126,453162,415326,415362,415236,541326,541362,541236,543126,543162
451623,451632,451263,456123,456132,415623,415632,415263,541623,541632,541263,546123,546132
452316,452361,452136,453216,453261,425316,425361,425136,542316,542361,542136,543216,543261
452613,452631,452163,456213,456231,425613,425631,425163,542613,542631,542163,546213,546231
453612,453621,453162,456312,456321,435612,435621,435162,543612,543621,543162,546312,546321
461325,461352,461235,463125,463152,416325,416352,416235,641325,641352,641235,643125,643152
461523,461532,461253,465123,465132,416523,416532,416253,641523,641532,641253,645123,645132
462315,462351,462135,463215,463251,426315,426351,426135,642315,642351,642135,643215,643251
462513,462531,462153,465213,465231,426513,426531,426153,642513,642531,642153,645213,645231
463512,463521,463152,465312,465321,436512,436521,436152,643512,643521,643152,645312,645321
561324,561342,561234,563124,563142,516324,516342,516234,651324,651342,651234,653124,653142
561423,561432,561243,564123,564132,516423,516432,516243,651423,651432,651243,654123,654132
562314,562341,562134,563214,563241,526314,526341,526134,652314,652341,652134,653214,653241
562413,562431,562143,564213,564231,526413,526431,526143,652413,652431,652143,654213,654231
563412,563421,563142,564312,564321,536412,536421,536142,653412,653421,653142,654312,654321
