*******,*****(),****()*,***()**,***()(),**()***,**()*(),**()()*,*()****,*()**(),*()*()*,*()()**,*()()(),()*****,()***(),()**()*,()*()**,()*()(),()()***,()()*(),()()()*
1325476,1325467,[1325746],1324576,1324567,[1352476],[1352467],[1352746],1235476,1235467,[1235746],1234576,1234567,3125476,3125467,[3125746],3124576,3124567,[3152476],[3152467],[3152746]
1326475,1326457,1326745,1324675,1324657,[1362475],[1362457],[1362745],1236475,1236457,1236745,1234675,1234657,3126475,3126457,3126745,3124675,3124657,[3162475],[3162457],[3162745]
1326574,1326547,1326754,1325674,1325647,[1362574],[1362547],[1362754],1236574,1236547,1236754,1235674,1235647,3126574,3126547,3126754,3125674,3125647,[3162574],[3162547],[3162754]
1327465,1327456,1327645,1324765,1324756,[1372465],[1372456],[1372645],1237465,1237456,1237645,1234765,1234756,3127465,3127456,3127645,3124765,3124756,[3172465],[3172456],[3172645]
1327564,1327546,1327654,1325764,[1325746],[1372564],[1372546],[1372654],1237564,1237546,1237654,1235764,[1235746],3127564,3127546,3127654,3125764,[3125746],[3172564],[3172546],[3172654]
1425376,1425367,[1425736],1423576,1423567,1452376,1452367,[1452736],1245376,1245367,[1245736],1243576,1243567,4125376,4125367,[4125736],4123576,4123567,[4152376],[4152367],[4152736]
1426375,1426357,1426735,1423675,1423657,1462375,1462357,[1462735],1246375,1246357,1246735,1243675,1243657,4126375,4126357,4126735,4123675,4123657,[4162375],[4162357],[4162735]
1426573,1426537,1426753,1425673,1425637,[1462573],[1462537],[1462753],1246573,1246537,1246753,1245673,1245637,4126573,4126537,4126753,4125673,4125637,[4162573],[4162537],[4162753]
1427365,1427356,1427635,1423765,1423756,1472365,1472356,[1472635],1247365,1247356,1247635,1243765,1243756,4127365,4127356,4127635,4123765,4123756,[4172365],[4172356],[4172635]
1427563,1427536,1427653,1425763,[1425736],[1472563],[1472536],[1472653],1247563,1247536,1247653,1245763,[1245736],4127563,4127536,4127653,4125763,[4125736],[4172563],[4172536],[4172653]
1435276,1435267,[1435726],1432576,1432567,1453276,1453267,[1453726],1345276,1345267,[1345726],1342576,1342567,4135276,4135267,[4135726],4132576,4132567,[4153276],[4153267],[4153726]
1436275,1436257,1436725,1432675,1432657,1463275,1463257,[1463725],1346275,1346257,1346725,1342675,1342657,4136275,4136257,4136725,4132675,4132657,[4163275],[4163257],[4163725]
1436572,1436527,1436752,1435672,1435627,[1463572],[1463527],[1463752],1346572,1346527,1346752,1345672,1345627,4136572,4136527,4136752,4135672,4135627,[4163572],[4163527],[4163752]
1437265,1437256,1437625,1432765,1432756,1473265,1473256,[1473625],1347265,1347256,1347625,1342765,1342756,4137265,4137256,4137625,4132765,4132756,[4173265],[4173256],[4173625]
1437562,1437526,1437652,1435762,[1435726],[1473562],[1473526],[1473652],1347562,1347526,1347652,1345762,[1345726],4137562,4137526,4137652,4135762,[4135726],[4173562],[4173526],[4173652]
1524376,1524367,[1524736],1523476,1523467,1542376,1542367,[1542736],1254376,1254367,[1254736],1253476,1253467,5124376,5124367,[5124736],5123476,5123467,5142376,5142367,[5142736]
1526374,1526347,1526734,1523674,1523647,1562374,1562347,[1562734],1256374,1256347,1256734,1253674,1253647,5126374,5126347,5126734,5123674,5123647,[5162374],[5162347],[5162734]
1526473,1526437,1526743,1524673,1524637,1562473,1562437,[1562743],1256473,1256437,1256743,1254673,1254637,5126473,5126437,5126743,5124673,5124637,[5162473],[5162437],[5162743]
1527364,1527346,1527634,1523764,1523746,1572364,1572346,[1572634],1257364,1257346,1257634,1253764,1253746,5127364,5127346,5127634,5123764,5123746,[5172364],[5172346],[5172634]
1527463,1527436,1527643,1524763,[1524736],1572463,1572436,[1572643],1257463,1257436,1257643,1254763,[1254736],5127463,5127436,5127643,5124763,[5124736],[5172463],[5172436],[5172643]
1534276,1534267,[1534726],1532476,1532467,1543276,1543267,[1543726],1354276,1354267,[1354726],[1352476],[1352467],5134276,5134267,[5134726],5132476,5132467,5143276,5143267,[5143726]
1536274,1536247,1536724,1532674,1532647,1563274,1563247,[1563724],1356274,1356247,1356724,1352674,1352647,5136274,5136247,5136724,5132674,5132647,[5163274],[5163247],[5163724]
1536472,1536427,1536742,1534672,1534627,1563472,1563427,[1563742],1356472,1356427,1356742,1354672,1354627,5136472,5136427,5136742,5134672,5134627,[5163472],[5163427],[5163742]
1537264,1537246,1537624,1532764,1532746,1573264,1573246,[1573624],1357264,1357246,1357624,1352764,[1352746],5137264,5137246,5137624,5132764,5132746,[5173264],[5173246],[5173624]
1537462,1537426,1537642,1534762,[1534726],1573462,1573426,[1573642],1357462,1357426,1357642,1354762,[1354726],5137462,5137426,5137642,5134762,[5134726],[5173462],[5173426],[5173642]
1546273,1546237,1546723,1542673,1542637,1564273,1564237,1564723,1456273,1456237,1456723,1452673,1452637,5146273,5146237,5146723,5142673,5142637,[5164273],[5164237],[5164723]
1546372,1546327,1546732,1543672,1543627,1564372,1564327,1564732,1456372,1456327,1456732,1453672,1453627,5146372,5146327,5146732,5143672,5143627,[5164372],[5164327],[5164732]
1547263,1547236,1547623,1542763,[1542736],1574263,1574236,1574623,1457263,1457236,1457623,1452763,[1452736],5147263,5147236,5147623,5142763,[5142736],[5174263],[5174236],[5174623]
1547362,1547326,1547632,1543762,[1543726],1574362,1574326,1574632,1457362,1457326,1457632,1453762,[1453726],5147362,5147326,5147632,5143762,[5143726],[5174362],[5174326],[5174632]
1624375,1624357,[1624735],1623475,1623457,1642375,1642357,[1642735],1264375,1264357,[1264735],1263475,1263457,6124375,6124357,[6124735],6123475,6123457,6142375,6142357,[6142735]
1625374,1625347,1625734,1623574,1623547,1652374,1652347,[1652734],1265374,1265347,1265734,1263574,1263547,6125374,6125347,6125734,6123574,6123547,6152374,6152347,[6152734]
1625473,1625437,1625743,1624573,1624537,1652473,1652437,[1652743],1265473,1265437,1265743,1264573,1264537,6125473,6125437,6125743,6124573,6124537,6152473,6152437,[6152743]
1627354,1627345,1627534,1623754,1623745,1672354,1672345,1672534,1267354,1267345,1267534,1263754,1263745,6127354,6127345,6127534,6123754,6123745,[6172354],[6172345],[6172534]
