********,******(),*****()*,****()**,****()(),***()***,***()*(),***()()*,**()****,**()**(),**()*()*,**()()**,**()()(),*()*****,*()***(),*()**()*,*()*()**,*()*()(),*()()***,*()()*(),*()()()*,()******,()****(),()***()*,()**()**,()**()(),()*()***,()*()*(),()*()()*,()()****,()()**(),()()*()*,()()()**,()()()()
13254768,13254786,13254678,[13257468],[13257486],13245768,13245786,13245678,[13524768],[13524786],[13524678],[13527468],[13527486],12354768,12354786,12354678,[12357468],[12357486],12345768,12345786,12345678,31254768,31254786,31254678,[31257468],[31257486],31245768,31245786,31245678,[31524768],[31524786],[31524678],[31527468],[31527486]
13254867,13254876,13254687,[13258467],[13258476],13245867,13245876,13245687,[13524867],[13524876],[13524687],[13528467],[13528476],12354867,12354876,12354687,[12358467],[12358476],12345867,12345876,12345687,31254867,31254876,31254687,[31258467],[31258476],31245867,31245876,31245687,[31524867],[31524876],[31524687],[31528467],[31528476]
13264758,13264785,13264578,13267458,[13267485],13246758,13246785,13246578,[13624758],[13624785],[13624578],[13627458],[13627485],12364758,12364785,12364578,12367458,[12367485],12346758,12346785,12346578,31264758,31264785,31264578,31267458,[31267485],31246758,31246785,31246578,[31624758],[31624785],[31624578],[31627458],[31627485]
13264857,13264875,13264587,13268457,[13268475],13246857,13246875,13246587,[13624857],[13624875],[13624587],[13628457],[13628475],12364857,12364875,12364587,12368457,[12368475],12346857,12346875,12346587,31264857,31264875,31264587,31268457,[31268475],31246857,31246875,31246587,[31624857],[31624875],[31624587],[31628457],[31628475]
13265748,13265784,13265478,13267548,13267584,13256748,13256784,13256478,[13625748],[13625784],[13625478],[13627548],[13627584],12365748,12365784,12365478,12367548,12367584,12356748,12356784,12356478,31265748,31265784,31265478,31267548,31267584,31256748,31256784,31256478,[31625748],[31625784],[31625478],[31627548],[31627584]
13265847,13265874,13265487,13268547,13268574,13256847,13256874,13256487,[13625847],[13625874],[13625487],[13628547],[13628574],12365847,12365874,12365487,12368547,12368574,12356847,12356874,12356487,31265847,31265874,31265487,31268547,31268574,31256847,31256874,31256487,[31625847],[31625874],[31625487],[31628547],[31628574]
13274658,13274685,13274568,13276458,[13276485],13247658,13247685,13247568,[13724658],[13724685],[13724568],[13726458],[13726485],12374658,12374685,12374568,12376458,[12376485],12347658,12347685,12347568,31274658,31274685,31274568,31276458,[31276485],31247658,31247685,31247568,[31724658],[31724685],[31724568],[31726458],[31726485]
13274856,13274865,13274586,13278456,13278465,13247856,13247865,13247586,[13724856],[13724865],[13724586],[13728456],[13728465],12374856,12374865,12374586,12378456,12378465,12347856,12347865,12347586,31274856,31274865,31274586,31278456,31278465,31247856,31247865,31247586,[31724856],[31724865],[31724586],[31728456],[31728465]
13275648,13275684,13275468,13276548,13276584,13257648,13257684,[13257468],[13725648],[13725684],[13725468],[13726548],[13726584],12375648,12375684,12375468,12376548,12376584,12357648,12357684,[12357468],31275648,31275684,31275468,31276548,31276584,31257648,31257684,[31257468],[31725648],[31725684],[31725468],[31726548],[31726584]
13275846,13275864,13275486,13278546,13278564,13257846,13257864,[13257486],[13725846],[13725864],[13725486],[13728546],[13728564],12375846,12375864,12375486,12378546,12378564,12357846,12357864,[12357486],31275846,31275864,31275486,31278546,31278564,31257846,31257864,[31257486],[31725846],[31725864],[31725486],[31728546],[31728564]
13276845,13276854,[13276485],13278645,13278654,13267845,13267854,[13267485],[13726845],[13726854],[13726485],[13728645],[13728654],12376845,12376854,[12376485],12378645,12378654,12367845,12367854,[12367485],31276845,31276854,[31276485],31278645,31278654,31267845,31267854,[31267485],[31726845],[31726854],[31726485],[31728645],[31728654]
